I (3053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (3353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (3653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (3953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (4253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (4553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (4853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (5153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (5453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (5753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (6053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3565 | Ring: 0 | Pinky: 0
I (6353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3832 | Ring: 0 | Pinky: 0
I (6653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3840 | Ring: 0 | Pinky: 0
I (6953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3817 | Ring: 0 | Pinky: 0
I (7253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3751 | Ring: 0 | Pinky: 0
I (7553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3738 | Ring: 0 | Pinky: 0
I (7853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3711 | Ring: 0 | Pinky: 0
I (8153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3711 | Ring: 0 | Pinky: 0
I (8453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3686 | Ring: 0 | Pinky: 0
I (8753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3687 | Ring: 0 | Pinky: 0
I (9053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3666 | Ring: 0 | Pinky: 0
I (9353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3643 | Ring: 0 | Pinky: 0
I (9653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3647 | Ring: 0 | Pinky: 0
I (9953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3654 | Ring: 0 | Pinky: 0
I (10253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3665 | Ring: 0 | Pinky: 0
I (10553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3653 | Ring: 0 | Pinky: 0
I (10853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3657 | Ring: 0 | Pinky: 0
I (11153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3652 | Ring: 0 | Pinky: 0
I (11453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3632 | Ring: 0 | Pinky: 0
I (11753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3628 | Ring: 0 | Pinky: 0
I (12053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3642 | Ring: 0 | Pinky: 0
I (12353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3636 | Ring: 0 | Pinky: 0
I (12653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3616 | Ring: 0 | Pinky: 0
I (12953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3591 | Ring: 0 | Pinky: 0
I (13253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3586 | Ring: 0 | Pinky: 0
I (13553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3571 | Ring: 0 | Pinky: 0
I (13853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3560 | Ring: 0 | Pinky: 0
I (14153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3561 | Ring: 0 | Pinky: 0
