Thumb,Index,Middle,Ring,Pinky,cluster,gesture
0,0,3565,0,0,2,middle_bent
0,0,3832,0,0,2,middle_bent
0,0,3840,0,0,2,middle_bent
0,0,3817,0,0,2,middle_bent
0,0,3751,0,0,2,middle_bent
0,0,3738,0,0,2,middle_bent
0,0,3711,0,0,2,middle_bent
0,0,3711,0,0,2,middle_bent
0,0,3686,0,0,2,middle_bent
0,0,3687,0,0,2,middle_bent
0,0,3666,0,0,2,middle_bent
0,0,3643,0,0,2,middle_bent
0,0,3647,0,0,2,middle_bent
0,0,3654,0,0,2,middle_bent
0,0,3665,0,0,2,middle_bent
0,0,3653,0,0,2,middle_bent
0,0,3657,0,0,2,middle_bent
0,0,3652,0,0,2,middle_bent
0,0,3632,0,0,2,middle_bent
0,0,3628,0,0,2,middle_bent
0,0,3642,0,0,2,middle_bent
0,0,3636,0,0,2,middle_bent
0,0,3616,0,0,2,middle_bent
0,0,3591,0,0,2,middle_bent
0,0,3586,0,0,2,middle_bent
0,0,3571,0,0,2,middle_bent
0,0,3560,0,0,2,middle_bent
0,0,3561,0,0,2,middle_bent
0,0,3554,0,0,2,middle_bent
0,0,3544,0,0,2,middle_bent
0,0,3539,0,0,2,middle_bent
0,0,3521,0,0,2,middle_bent
0,0,3518,0,0,2,middle_bent
0,0,3507,0,0,2,middle_bent
0,0,3501,0,0,2,middle_bent
0,0,3493,0,0,2,middle_bent
0,0,3454,0,0,2,middle_bent
0,0,3430,0,0,2,middle_bent
0,0,3434,0,0,2,middle_bent
0,0,3401,0,0,0,null
0,0,3386,0,0,0,null
0,0,3357,0,0,0,null
0,0,3378,0,0,0,null
0,0,3387,0,0,0,null
0,0,3374,0,0,0,null
0,0,3341,0,0,0,null
0,0,3335,0,0,0,null
0,0,3325,0,0,0,null
0,0,3349,0,0,0,null
0,0,3346,0,0,0,null
0,0,3316,0,0,0,null
0,0,3328,0,0,0,null
0,0,3321,0,0,0,null
0,0,3276,0,0,0,null
0,0,3283,0,0,0,null
0,0,3281,0,0,0,null
0,0,3291,0,0,0,null
0,0,3288,0,0,0,null
0,0,3291,0,0,0,null
0,0,3281,0,0,0,null
0,0,3282,0,0,0,null
0,0,3282,0,0,0,null
0,0,3276,0,0,0,null
0,0,3280,0,0,0,null
0,0,3288,0,0,0,null
0,0,3300,0,0,0,null
0,0,3325,0,0,0,null
0,0,3317,0,0,0,null
0,0,3312,0,0,0,null
0,0,3275,0,0,0,null
0,0,3267,0,0,0,null
0,0,3260,0,0,0,null
0,0,3258,0,0,0,null
0,0,3253,0,0,0,null
0,0,3246,0,0,0,null
0,0,3241,0,0,0,null
0,0,3237,0,0,0,null
0,0,3234,0,0,0,null
0,0,3236,0,0,0,null
0,0,3235,0,0,0,null
0,0,3235,0,0,0,null
0,0,3231,0,0,0,null
0,0,3230,0,0,0,null
0,0,3230,0,0,0,null
0,0,3232,0,0,0,null
0,0,3231,0,0,0,null
0,0,3238,0,0,0,null
0,0,3225,0,0,0,null
0,0,3268,0,0,0,null
0,0,3258,0,0,0,null
0,0,3236,0,0,0,null
0,0,3236,0,0,0,null
0,0,3221,0,0,0,null
0,0,3222,0,0,0,null
0,0,3221,0,0,0,null
0,0,3194,0,0,0,null
0,0,3192,0,0,0,null
0,0,3190,0,0,0,null
0,0,3190,0,0,0,null
0,0,3208,0,0,0,null
0,0,3186,0,0,0,null
0,0,3194,0,0,0,null
0,0,3210,0,0,0,null
0,0,3212,0,0,0,null
0,0,3202,0,0,0,null
0,0,3198,0,0,0,null
0,0,3189,0,0,0,null
0,0,3174,0,0,0,null
0,0,3196,0,0,0,null
0,0,3200,0,0,0,null
0,0,3202,0,0,0,null
0,0,3201,0,0,0,null
0,0,3198,0,0,0,null
0,0,3201,0,0,0,null
0,0,3197,0,0,0,null
0,0,3198,0,0,0,null
0,0,3192,0,0,0,null
0,0,3181,0,0,0,null
0,0,3169,0,0,0,null
0,0,3166,0,0,0,null
0,0,3170,0,0,0,null
0,0,3177,0,0,0,null
0,0,3165,0,0,0,null
0,0,3155,0,0,0,null
0,0,3168,0,0,0,null
0,0,3168,0,0,0,null
0,0,3155,0,0,0,null
0,0,3157,0,0,0,null
0,0,3158,0,0,0,null
0,0,3153,0,0,0,null
0,0,3148,0,0,0,null
0,0,3147,0,0,0,null
0,0,3142,0,0,0,null
0,0,3143,0,0,0,null
0,0,3131,0,0,0,null
0,0,3138,0,0,0,null
0,0,3127,0,0,0,null
0,0,3127,0,0,0,null
0,0,3145,0,0,0,null
0,0,3129,0,0,0,null
0,0,3125,0,0,0,null
0,0,3130,0,0,0,null
0,0,3121,0,0,0,null
0,0,3106,0,0,0,null
0,0,3094,0,0,0,null
0,0,3078,0,0,0,null
0,0,2121,0,0,0,null
0,1348,0,0,0,1,index_bent
0,3507,0,0,0,1,index_bent
0,3509,0,0,0,1,index_bent
